movie_id,movie_title,opening,gross,votes
25683,Avatar,Blockbluster,2787965087,11800
14531,Pirates of the Caribbean: At World's End,Blockbluster,961000000,4500
18260,Spectre,Flop,880674609,4466
25056,The Dark Knight Rises,Blockbluster,1084939099,9106
99197,John Carter,Flop,284139100,2124
36957,Spider-Man 3,Blockbluster,890871626,3576
88901,Tangled,Flop,591794936,3330
67895,Avengers: Age of Ultron,Blockbluster,1405403694,6767
91826,Harry Potter and the Half-Blood Prince,Blockbluster,933959197,5293
91701,Batman v Superman: Dawn of Justice,Flop,873260194,7004
13736,Superman Returns,Flop,391081192,1400
14715,Quantum of Solace,Flop,586090727,2965
45746,Pirates of the Caribbean: Dead Man's Chest,Blockbluster,1065659812,5246
49061,The Lone Ranger,Flop,89289910,2311
12516,Man of Steel,Flop,662845518,6359
52526,The Chronicles of Narnia: Prince Caspian,Blockbluster,419651413,1630
12900,The Avengers,Blockbluster,1519557910,11776
28995,Pirates of the Caribbean: On Stranger Tides,Blockbluster,1045713802,4948
95636,Men in Black 3,Blockbluster,624026776,4160
45599,The Hobbit: The Battle of the Five Armies,Flop,956019788,4760
82310,The Amazing Spider-Man,Blockbluster,752215857,6586
12298,Robin Hood,Flop,310669540,1398
76013,The Hobbit: The Desolation of Smaug,Flop,958400000,4524
71535,The Golden Compass,Blockbluster,372234864,1303
73688,King Kong,Blockbluster,550000000,2337
41019,Titanic,Blockbluster,1845034188,7562
26043,Captain America: Civil War,Blockbluster,1153304495,7241
84995,Battleship,Flop,303025485,2114
27424,Jurassic World,Flop,1513528810,8662
53458,Skyfall,Flop,1108561013,7604
53670,Spider-Man 2,Blockbluster,783766341,4321
93183,Iron Man 3,Blockbluster,1215439994,8806
90156,Alice in Wonderland,Flop,1025491110,4645
85642,X-Men: The Last Stand,Blockbluster,459359555,3525
25461,Monsters University,Flop,743559607,3528
31799,Transformers: Revenge of the Fallen,Flop,836297228,3138
11570,Transformers: Age of Extinction,Blockbluster,1091405097,3095
49377,Oz: The Great and Powerful,Flop,491868548,3530
32430,The Amazing Spider-Man 2,Blockbluster,705717432,4179
15323,TRON: Legacy,Flop,400062763,2841
53933,Cars 2,Flop,559852396,2033
55758,Green Lantern,Flop,219851172,2487
87107,Toy Story 3,Blockbluster,1066969703,4597
45646,Terminator Salvation,Blockbluster,371353001,2463
93339,Furious 7,Blockbluster,1506249360,4176
92323,World War Z,Blockbluster,531865000,5560
47055,X-Men: Days of Future Past,Blockbluster,747862775,6032
87119,Star Trek Into Darkness,Blockbluster,467365246,4418
16439,Jack the Giant Slayer,Blockbluster,197687603,2598
48595,The Great Gatsby,Blockbluster,351040419,3769
80601,Prince of Persia: The Sands of Time,Blockbluster,335154643,2317
76236,Pacific Rim,Blockbluster,407602906,4794
55014,Transformers: Dark of the Moon,Blockbluster,1123746996,3299
62964,Indiana Jones and the Kingdom of the Crystal Skull,Blockbluster,786636033,2495
80564,The Good Dinosaur,Blockbluster,331926147,1736
85997,Brave,Blockbluster,538983207,4641
97735,Star Trek Beyond,Blockbluster,343471816,2568
44854,WALL·E,Blockbluster,521311860,6296
46788,Rush Hour 3,Blockbluster,258022233,783
41822,2012,Blockbluster,769653595,4903
51516,A Christmas Carol,Blockbluster,325233863,1095
98760,Jupiter Ascending,Blockbluster,183987723,2768
64975,The Legend of Tarzan,Blockbluster,356743061,2430
87690,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Blockbluster,748806957,2629
16279,X-Men: Apocalypse,Blockbluster,543934787,4721
41096,The Dark Knight,Blockbluster,1004558444,12002
18747,Up,Blockbluster,735099082,6870
83597,Monsters vs Aliens,Blockbluster,381509870,1423
53347,Iron Man,Blockbluster,585174222,8776
34519,Hugo,Flop,185770160,2141
73031,Wild Wild West,Blockbluster,222104681,1020
89421,The Mummy: Tomb of the Dragon Emperor,Blockbluster,401128639,1387
46879,Suicide Squad,Blockbluster,745000000,7458
12096,Evan Almighty,Blockbluster,173000000,1151
59638,Edge of Tomorrow,Blockbluster,370541256,4858
78260,Waterworld,Blockbluster,264218220,992
46374,G.I. Joe: The Rise of Cobra,Blockbluster,302469017,1962
91850,Inside Out,Blockbluster,857611174,6560
24813,The Jungle Book,Blockbluster,966550600,2892
35211,Iron Man 2,Blockbluster,623933331,6849
91908,Snow White and the Huntsman,Blockbluster,396600000,3118
79914,Maleficent,Blockbluster,758539785,4496
74657,Dawn of the Planet of the Apes,Blockbluster,710644566,4410
13293,The Lovers,Flop,0,34
40186,47 Ronin,Blockbluster,150962475,1326
49812,Captain America: The Winter Soldier,Blockbluster,714766572,5764
33248,Shrek Forever After,Blockbluster,752600867,1959
36690,Tomorrowland,Blockbluster,209154322,2846
61966,Big Hero 6,Blockbluster,652105443,6135
44188,Wreck-It Ralph,Blockbluster,471222889,4570
43286,The Polar Express,Blockbluster,305875730,1474
96105,Independence Day: Resurgence,Blockbluster,389681935,2491
25663,How to Train Your Dragon,Blockbluster,494878759,4227
17923,Terminator 3: Rise of the Machines,Blockbluster,435000000,2143
45769,Guardians of the Galaxy,Blockbluster,773328629,9742
71713,Interstellar,Blockbluster,675120017,10867
73278,Inception,Blockbluster,825532764,13752
28163,シン・ゴジラ,Flop,77000000,143
95805,The Hobbit: An Unexpected Journey,Blockbluster,1021103568,8297
23809,The Fast and the Furious,Blockbluster,207283925,3428
44586,The Curious Case of Benjamin Button,Blockbluster,333932083,3292
88288,X-Men: First Class,Blockbluster,353624124,5181
39431,The Hunger Games: Mockingjay - Part 2,Blockbluster,653428261,3984
65303,The Sorcerer's Apprentice,Flop,215283742,1470
58012,Poseidon,Flop,181674817,583
17205,Alice Through the Looking Glass,Flop,299370084,1725
58009,Shrek the Third,Flop,798958165,2278
62564,Warcraft,Flop,433677183,2268
23035,Terminator Genisys,Flop,440603537,3631
76892,The Chronicles of Narnia: The Voyage of the Dawn Treader,Flop,415686217,1514
93450,Pearl Harbor,Flop,449220945,1791
35196,Transformers,Flop,709709780,4040
94806,Alexander,Flop,167298192,927
88736,Harry Potter and the Order of the Phoenix,Flop,938212738,5494
65877,Harry Potter and the Goblet of Fire,Blockbluster,895921036,5608
29898,Hancock,Blockbluster,624029371,2961
20311,I Am Legend,Blockbluster,585349010,4853
53041,Charlie and the Chocolate Factory,Blockbluster,474968763,3624
40882,Ratatouille,Blockbluster,623722818,4369
95404,Batman Begins,Blockbluster,374218673,7359
33459,Madagascar: Escape 2 Africa,Blockbluster,603900354,1810
43680,Night at the Museum: Battle of the Smithsonian,Blockbluster,413106170,1971
51929,X-Men Origins: Wolverine,Blockbluster,373062864,4021
28974,The Matrix Revolutions,Blockbluster,424988211,3096
56228,Frozen,Flop,1274219009,5295
66994,The Matrix Reloaded,Blockbluster,738599701,3443
23418,Thor: The Dark World,Blockbluster,644571402,4755
44525,Mad Max: Fury Road,Flop,378858340,9427
32198,Angels & Demons,Blockbluster,356613439,2129
16146,Thor,Blockbluster,449326618,6525
16110,Bolt,Blockbluster,309979994,1750
50405,G-Force,Blockbluster,292817841,510
35171,Wrath of the Titans,Blockbluster,301000000,1431
85876,Dark Shadows,Blockbluster,245527149,2320
95463,Mission: Impossible - Rogue Nation,Flop,682330139,3224
65539,The Wolfman,Flop,0,549
92582,Bee Movie,Flop,287594577,1171
15862,Kung Fu Panda 2,Blockbluster,665692281,1880
82946,The Last Airbender,Blockbluster,318502923,1151
23937,Mission: Impossible III,Blockbluster,397850012,2028
