movie_id,movie_title,rating
25683,Avatar,7.2
14531,Pirates of the Caribbean: At World's End,6.9
18260,Spectre,6.3
25056,The Dark Knight Rises,7.6
99197,John Carter,6.1
36957,Spider-Man 3,5.9
88901,Tangled,7.4
67895,Avengers: Age of Ultron,7.3
91826,Harry Potter and the Half-Blood Prince,7.4
91701,Batman v Superman: Dawn of Justice,5.7
13736,Superman Returns,5.4
14715,Quantum of Solace,6.1
45746,Pirates of the Caribbean: Dead Man's Chest,7
49061,The Lone Ranger,5.9
12516,Man of Steel,6.5
52526,The Chronicles of Narnia: Prince Caspian,6.3
12900,The Avengers,7.4
28995,Pirates of the Caribbean: On Stranger Tides,6.4
95636,Men in Black 3,6.2
45599,The Hobbit: The Battle of the Five Armies,7.1
82310,The Amazing Spider-Man,6.5
12298,Robin Hood,6.2
76013,The Hobbit: The Desolation of Smaug,7.6
71535,The Golden Compass,5.8
73688,King Kong,6.6
41019,Titanic,7.5
26043,Captain America: Civil War,7.1
84995,Battleship,5.5
27424,Jurassic World,6.5
53458,Skyfall,6.9
53670,Spider-Man 2,6.7
93183,Iron Man 3,6.8
90156,Alice in Wonderland,6.4
85642,X-Men: The Last Stand,6.3
25461,Monsters University,7
31799,Transformers: Revenge of the Fallen,6
11570,Transformers: Age of Extinction,5.8
49377,Oz: The Great and Powerful,5.7
32430,The Amazing Spider-Man 2,6.5
15323,TRON: Legacy,6.3
53933,Cars 2,5.8
55758,Green Lantern,5.1
87107,Toy Story 3,7.6
45646,Terminator Salvation,5.9
93339,Furious 7,7.3
92323,World War Z,6.7
47055,X-Men: Days of Future Past,7.5
87119,Star Trek Into Darkness,7.4
16439,Jack the Giant Slayer,5.5
48595,The Great Gatsby,7.3
80601,Prince of Persia: The Sands of Time,6.2
76236,Pacific Rim,6.7
55014,Transformers: Dark of the Moon,6.1
62964,Indiana Jones and the Kingdom of the Crystal Skull,5.7
80564,The Good Dinosaur,6.6
85997,Brave,6.7
97735,Star Trek Beyond,6.6
44854,WALL·E,7.8
46788,Rush Hour 3,6.1
41822,2012,5.6
51516,A Christmas Carol,6.6
98760,Jupiter Ascending,5.2
64975,The Legend of Tarzan,5.5
87690,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7
16279,X-Men: Apocalypse,6.4
41096,The Dark Knight,8.2
18747,Up,7.7
83597,Monsters vs Aliens,6
53347,Iron Man,7.4
34519,Hugo,7
73031,Wild Wild West,5.1
89421,The Mummy: Tomb of the Dragon Emperor,5.2
46879,Suicide Squad,5.9
12096,Evan Almighty,5.3
59638,Edge of Tomorrow,7.6
78260,Waterworld,5.9
46374,G.I. Joe: The Rise of Cobra,5.6
91850,Inside Out,8
24813,The Jungle Book,6.7
35211,Iron Man 2,6.6
91908,Snow White and the Huntsman,5.8
79914,Maleficent,7
74657,Dawn of the Planet of the Apes,7.3
13293,The Lovers,4.8
40186,47 Ronin,5.9
49812,Captain America: The Winter Soldier,7.6
33248,Shrek Forever After,6
36690,Tomorrowland,6.2
61966,Big Hero 6,7.8
44188,Wreck-It Ralph,7.1
43286,The Polar Express,6.4
96105,Independence Day: Resurgence,4.9
25663,How to Train Your Dragon,7.5
17923,Terminator 3: Rise of the Machines,5.9
45769,Guardians of the Galaxy,7.9
71713,Interstellar,8.1
73278,Inception,8.1
28163,シン・ゴジラ,6.5
95805,The Hobbit: An Unexpected Journey,7
23809,The Fast and the Furious,6.6
44586,The Curious Case of Benjamin Button,7.3
88288,X-Men: First Class,7.1
39431,The Hunger Games: Mockingjay - Part 2,6.6
65303,The Sorcerer's Apprentice,5.8
58012,Poseidon,5.5
17205,Alice Through the Looking Glass,6.5
58009,Shrek the Third,6
62564,Warcraft,6.3
23035,Terminator Genisys,5.8
76892,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2
93450,Pearl Harbor,6.6
35196,Transformers,6.6
94806,Alexander,5.6
88736,Harry Potter and the Order of the Phoenix,7.4
65877,Harry Potter and the Goblet of Fire,7.5
29898,Hancock,6.2
20311,I Am Legend,6.9
53041,Charlie and the Chocolate Factory,6.7
40882,Ratatouille,7.5
95404,Batman Begins,7.5
33459,Madagascar: Escape 2 Africa,6.2
43680,Night at the Museum: Battle of the Smithsonian,5.9
51929,X-Men Origins: Wolverine,6.2
28974,The Matrix Revolutions,6.4
56228,Frozen,7.3
66994,The Matrix Reloaded,6.7
23418,Thor: The Dark World,6.8
44525,Mad Max: Fury Road,7.2
32198,Angels & Demons,6.5
16146,Thor,6.6
16110,Bolt,6.3
50405,G-Force,5.1
35171,Wrath of the Titans,5.5
85876,Dark Shadows,5.7
95463,Mission: Impossible - Rogue Nation,7.1
65539,The Wolfman,5.5
92582,Bee Movie,5.7
15862,Kung Fu Panda 2,6.7
82946,The Last Airbender,4.7
23937,Mission: Impossible III,6.5
40889,White House Down,6.4
14601,Mars Needs Moms,5.5
68136,Flushed Away,6
86050,Pan,5.9
77113,Mr. Peabody & Sherman,6.7
24548,Troy,6.9
80037,Madagascar 3: Europe's Most Wanted,6.4
57823,Die Another Day,5.8
53756,Ghostbusters,5.3
56314,Armageddon,6.4
94910,Men in Black II,6
81258,Beowulf,5.5
27967,Kung Fu Panda 3,6.7
67392,Mission: Impossible - Ghost Protocol,6.8
