,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
0,Black Panther: Wakanda Forever,2022,PG-13,"['Action', ' Adventure', ' Drama']",161,7.3,67,107334,73.0
1,Black Adam,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",125,6.7,41,150394,67.0
2,Strange World,2022,PG,"['Animation', ' Action', ' Adventure']",102,4.7,65,7741,47.0
3,Nope,2022,R,"['Horror', ' Mystery', ' Sci-Fi']",130,6.9,77,166603,69.0
4,Everything Everywhere All at Once,2022,R,"['Action', ' Adventure', ' Comedy']",139,8.1,81,245121,81.0
5,Black Panther,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88,767962,73.0
6,Avatar,2009,PG-13,"['Action', ' Adventure', ' Fantasy']",162,7.8,83,1249369,78.0
7,Thor: Love and Thunder,2022,PG-13,"['Action', ' Adventure', ' Comedy']",118,6.3,57,316536,63.0
8,Rogue One: A Star Wars Story,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.8,65,636425,78.0
9,Dune,2021,PG-13,"['Action', ' Adventure', ' Drama']",155,8.0,74,628034,80.0
10,Spider-Man: No Way Home,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",148,8.3,71,747608,83.0
11,Interstellar,2014,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",169,8.6,74,1814711,86.0
12,Mighty Morphin Power Rangers,1995,PG,"['Action', ' Adventure', ' Family']",95,5.2,40,27985,52.0
13,Jurassic World: Dominion,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147,5.7,38,151176,57.0
14,Avengers: Endgame,2019,PG-13,"['Action', ' Adventure', ' Drama']",181,8.4,78,1122048,84.0
15,Doctor Strange in the Multiverse of Madness,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",126,6.9,60,407591,69.0
16,Inception,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2339837,88.0
17,Blade Runner 2049,2017,R,"['Action', ' Drama', ' Mystery']",164,8.0,81,570367,80.0
18,The Hunger Games,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,7.2,68,918150,72.0
19,Prey,2022,R,"['Action', ' Adventure', ' Drama']",100,7.2,71,185847,72.0
20,Guardians of the Galaxy,2014,PG-13,"['Action', ' Adventure', ' Comedy']",121,8.0,76,1175336,80.0
21,Ghostbusters: Afterlife,2021,PG-13,"['Adventure', ' Comedy', ' Fantasy']",124,7.1,45,181679,71.0
22,Back to the Future,1985,PG,"['Adventure', ' Comedy', ' Sci-Fi']",116,8.5,87,1200102,85.0
23,Morbius,2022,PG-13,"['Action', ' Adventure', ' Horror']",104,5.2,35,121330,52.0
24,Alita: Battle Angel,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.3,53,268684,73.0
25,Don't Look Up,2021,R,"['Comedy', ' Drama', ' Sci-Fi']",138,7.2,49,533905,72.0
26,Eternals,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",156,6.3,52,339812,63.0
27,R.I.P.D.,2013,PG-13,"['Action', ' Adventure', ' Comedy']",96,5.6,25,135029,56.0
28,Tenet,2020,PG-13,"['Action', ' Sci-Fi', ' Thriller']",150,7.3,69,501424,73.0
29,DC League of Super-Pets,2022,PG,"['Animation', ' Action', ' Adventure']",105,7.3,56,61868,73.0
30,Crimes of the Future,2022,R,"['Drama', ' Horror', ' Sci-Fi']",107,5.9,67,27222,59.0
31,Moonfall,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,5.1,41,77768,51.0
32,Mad Max: Fury Road,2015,R,"['Action', ' Adventure', ' Sci-Fi']",120,8.1,90,999543,81.0
33,Spider-Man,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",121,7.4,73,816716,74.0
34,Alien,1979,R,"['Horror', ' Sci-Fi']",117,8.5,89,880385,85.0
35,Free Guy,2021,PG-13,"['Action', ' Adventure', ' Comedy']",115,7.1,62,368236,71.0
36,The Matrix,1999,R,"['Action', ' Sci-Fi']",136,8.7,73,1905607,87.0
37,Jurassic Park,1993,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,8.2,68,986036,82.0
38,Guardians of the Galaxy Vol. 2,2017,PG-13,"['Action', ' Adventure', ' Comedy']",136,7.6,67,679869,76.0
39,Oblivion,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,7.0,54,527110,70.0
40,The Suicide Squad,2021,R,"['Action', ' Adventure', ' Comedy']",132,7.2,72,349570,72.0
41,Avengers: Infinity War,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,68,1073818,84.0
42,The Prestige,2006,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",130,8.5,66,1328370,85.0
43,Star Wars: Episode IV - A New Hope,1977,PG,"['Action', ' Adventure', ' Fantasy']",121,8.6,90,1360494,86.0
44,Blade Runner,1982,R,"['Action', ' Drama', ' Sci-Fi']",117,8.1,84,768744,81.0
45,Eternal Sunshine of the Spotless Mind,2004,R,"['Drama', ' Romance', ' Sci-Fi']",108,8.3,89,1005442,83.0
46,Prometheus,2012,R,"['Adventure', ' Mystery', ' Sci-Fi']",124,7.0,64,610846,70.0
47,Power Rangers,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",124,5.9,44,108969,59.0
48,Spider-Man: Into the Spider-Verse,2018,PG,"['Animation', ' Action', ' Adventure']",117,8.4,87,525254,84.0
49,Black Widow,2021,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,6.7,67,376680,67.0
50,Iron Man,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.9,79,1056725,79.0
51,Aliens,1986,R,"['Action', ' Adventure', ' Sci-Fi']",137,8.4,84,716816,84.0
52,Samaritan,2022,PG-13,"['Action', ' Drama', ' Fantasy']",102,5.7,45,43946,57.0
53,The Matrix Resurrections,2021,R,"['Action', ' Sci-Fi']",148,5.7,63,248854,57.0
54,Underwater,2020,PG-13,"['Action', ' Horror', ' Sci-Fi']",95,5.8,48,83678,58.0
55,Deadpool,2016,R,"['Action', ' Adventure', ' Comedy']",108,8.0,65,1034896,80.0
56,Deadpool 2,2018,R,"['Action', ' Adventure', ' Comedy']",119,7.7,66,581371,77.0
57,Ghostbusters,1984,PG,"['Action', ' Comedy', ' Fantasy']",105,7.8,71,416517,78.0
58,A Clockwork Orange,1971,R,"['Crime', ' Sci-Fi']",136,8.3,77,828989,83.0
59,About Time,2013,R,"['Comedy', ' Drama', ' Fantasy']",123,7.8,55,351388,78.0
60,Spiderhead,2022,R,"['Action', ' Crime', ' Drama']",106,5.4,54,55827,54.0
61,Ready Player One,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64,436452,74.0
62,Zack Snyder's Justice League,2021,R,"['Action', ' Adventure', ' Fantasy']",242,8.0,54,396950,80.0
63,Arrival,2016,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",116,7.9,81,693501,79.0
64,Captain America: The First Avenger,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,66,844328,69.0
65,Minions: The Rise of Gru,2022,PG,"['Animation', ' Adventure', ' Comedy']",87,6.6,56,62388,66.0
66,Man of Steel,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,7.1,55,771602,71.0
67,The Fifth Element,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.6,52,474984,76.0
68,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",132,7.4,71,379297,74.0
69,Aquaman,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,474284,68.0
70,The Avengers,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,8.0,69,1388006,80.0
71,The Adam Project,2022,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.7,55,199727,67.0
72,Lightyear,2022,PG,"['Animation', ' Action', ' Adventure']",100,6.0,60,102563,60.0
73,Sonic the Hedgehog 2,2022,PG,"['Action', ' Adventure', ' Comedy']",122,6.5,47,65794,65.0
