movie_id,movie_title,budget
25683,Avatar,237000000
14531,Pirates of the Caribbean: At World's End,300000000
18260,Spectre,245000000
25056,The Dark Knight Rises,250000000
99197,John Carter,260000000
36957,Spider-Man 3,258000000
88901,Tangled,260000000
67895,Avengers: Age of Ultron,280000000
91826,Harry Potter and the Half-Blood Prince,250000000
91701,Batman v Superman: Dawn of Justice,250000000
13736,Superman Returns,270000000
14715,Quantum of Solace,200000000
45746,Pirates of the Caribbean: Dead Man's Chest,200000000
49061,The Lone Ranger,255000000
12516,Man of Steel,225000000
52526,The Chronicles of Narnia: Prince Caspian,225000000
12900,The Avengers,220000000
28995,Pirates of the Caribbean: On Stranger Tides,380000000
95636,Men in Black 3,225000000
45599,The Hobbit: The Battle of the Five Armies,250000000
82310,The Amazing Spider-Man,215000000
12298,Robin Hood,200000000
76013,The Hobbit: The Desolation of Smaug,250000000
71535,The Golden Compass,180000000
73688,King Kong,207000000
41019,Titanic,200000000
26043,Captain America: Civil War,250000000
84995,Battleship,209000000
27424,Jurassic World,150000000
53458,Skyfall,200000000
53670,Spider-Man 2,200000000
93183,Iron Man 3,200000000
90156,Alice in Wonderland,200000000
85642,X-Men: The Last Stand,210000000
25461,Monsters University,200000000
31799,Transformers: Revenge of the Fallen,150000000
11570,Transformers: Age of Extinction,210000000
49377,Oz: The Great and Powerful,200000000
32430,The Amazing Spider-Man 2,200000000
15323,TRON: Legacy,170000000
53933,Cars 2,200000000
55758,Green Lantern,200000000
87107,Toy Story 3,200000000
45646,Terminator Salvation,200000000
93339,Furious 7,190000000
92323,World War Z,200000000
47055,X-Men: Days of Future Past,250000000
87119,Star Trek Into Darkness,190000000
16439,Jack the Giant Slayer,195000000
48595,The Great Gatsby,105000000
80601,Prince of Persia: The Sands of Time,150000000
76236,Pacific Rim,180000000
55014,Transformers: Dark of the Moon,195000000
62964,Indiana Jones and the Kingdom of the Crystal Skull,185000000
80564,The Good Dinosaur,175000000
85997,Brave,185000000
97735,Star Trek Beyond,185000000
44854,WALL·E,180000000
46788,Rush Hour 3,140000000
41822,2012,200000000
51516,A Christmas Carol,200000000
98760,Jupiter Ascending,176000003
64975,The Legend of Tarzan,180000000
87690,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000
16279,X-Men: Apocalypse,178000000
41096,The Dark Knight,185000000
18747,Up,175000000
83597,Monsters vs Aliens,175000000
53347,Iron Man,140000000
34519,Hugo,170000000
73031,Wild Wild West,170000000
89421,The Mummy: Tomb of the Dragon Emperor,145000000
46879,Suicide Squad,175000000
12096,Evan Almighty,175000000
59638,Edge of Tomorrow,178000000
78260,Waterworld,175000000
46374,G.I. Joe: The Rise of Cobra,175000000
91850,Inside Out,175000000
24813,The Jungle Book,175000000
35211,Iron Man 2,200000000
91908,Snow White and the Huntsman,170000000
79914,Maleficent,180000000
74657,Dawn of the Planet of the Apes,170000000
13293,The Lovers,27000000
40186,47 Ronin,175000000
49812,Captain America: The Winter Soldier,170000000
33248,Shrek Forever After,165000000
36690,Tomorrowland,190000000
61966,Big Hero 6,165000000
44188,Wreck-It Ralph,165000000
43286,The Polar Express,165000000
96105,Independence Day: Resurgence,165000000
25663,How to Train Your Dragon,165000000
17923,Terminator 3: Rise of the Machines,200000000
45769,Guardians of the Galaxy,170000000
71713,Interstellar,165000000
73278,Inception,160000000
28163,シン・ゴジラ,15000000
95805,The Hobbit: An Unexpected Journey,250000000
23809,The Fast and the Furious,38000000
44586,The Curious Case of Benjamin Button,150000000
88288,X-Men: First Class,160000000
39431,The Hunger Games: Mockingjay - Part 2,160000000
65303,The Sorcerer's Apprentice,150000000
58012,Poseidon,160000000
17205,Alice Through the Looking Glass,170000000
58009,Shrek the Third,160000000
62564,Warcraft,160000000
23035,Terminator Genisys,155000000
76892,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000
93450,Pearl Harbor,140000000
35196,Transformers,150000000
94806,Alexander,155000000
88736,Harry Potter and the Order of the Phoenix,150000000
65877,Harry Potter and the Goblet of Fire,150000000
29898,Hancock,150000000
20311,I Am Legend,150000000
53041,Charlie and the Chocolate Factory,150000000
40882,Ratatouille,150000000
95404,Batman Begins,150000000
33459,Madagascar: Escape 2 Africa,150000000
43680,Night at the Museum: Battle of the Smithsonian,150000000
51929,X-Men Origins: Wolverine,150000000
28974,The Matrix Revolutions,150000000
56228,Frozen,150000000
66994,The Matrix Reloaded,150000000
23418,Thor: The Dark World,170000000
44525,Mad Max: Fury Road,150000000
32198,Angels & Demons,150000000
16146,Thor,150000000
16110,Bolt,150000000
50405,G-Force,150000000
35171,Wrath of the Titans,150000000
85876,Dark Shadows,150000000
95463,Mission: Impossible - Rogue Nation,150000000
65539,The Wolfman,150000000
92582,Bee Movie,150000000
15862,Kung Fu Panda 2,150000000
82946,The Last Airbender,150000000
23937,Mission: Impossible III,150000000
40889,White House Down,150000000
14601,Mars Needs Moms,150000000
68136,Flushed Away,149000000
86050,Pan,150000000
77113,Mr. Peabody & Sherman,145000000
24548,Troy,175000000
80037,Madagascar 3: Europe's Most Wanted,145000000
57823,Die Another Day,140000000
53756,Ghostbusters,144000000
56314,Armageddon,140000000
94910,Men in Black II,140000000
81258,Beowulf,70000000
27967,Kung Fu Panda 3,145000000
67392,Mission: Impossible - Ghost Protocol,145000000
84069,Rise of the Guardians,145000000
92636,Fun with Dick and Jane,100000000
31118,The Last Samurai,140000000
89097,Exodus: Gods and Kings,140000000
33987,Star Trek,150000000
68633,Spider-Man,139000000
94120,How to Train Your Dragon 2,145000000
58610,Gods of Egypt,140000000
24969,Stealth,135000000
85145,Watchmen,130000000
69139,Lethal Weapon 4,140000000
46783,Hulk,137000000
89112,G.I. Joe: Retaliation,130000000
76565,Sahara,130000000
18619,Final Fantasy: The Spirits Within,137000000
42253,Captain America: The First Avenger,140000000
16605,The World Is Not Enough,135000000
82324,Master and Commander: The Far Side of the World,150000000
31206,The Twilight Saga: Breaking Dawn - Part 2,120000000
25051,Happy Feet Two,130000000
97256,The Incredible Hulk,150000000
35967,The BFG,140000000
