movie_id,movie_title,released_date,about,streaming on,subscription ,language,no.of reviews,ratings,award_name,true_story,companies
25683,Avatar,2009-12-10,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",hulu,yes,English,11800,7.2,TRUE,FALSE, Ingenious Film Partners    Twentieth Century Fox Film Corporation    Dune Entertainment    Lightstorm Entertainment  
14531,Pirates of the Caribbean: At World's End,2007-05-19,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",hulu,yes,English,4500,6.9,FALSE,FALSE, Walt Disney Pictures    Jerry Bruckheimer Films    Second Mate Productions  
18260,Spectre,2015-10-26,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",hulu ,yes,English,4466,6.3,FALSE,FALSE, Columbia Pictures    Danjaq    B  
25056,The Dark Knight Rises,2012-07-16,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",netflix,yes,English,9106,7.6,TRUE,FALSE, Legendary Pictures    Warner Bros.    DC Entertainment    Syncopy  
99197,John Carter,2012-03-07,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",hulu,yes,English,2124,6.1,FALSE,FALSE, Walt Disney Pictures  
36957,Spider-Man 3,2007-05-01,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",prime,yes,English,3576,5.9,FALSE,FALSE, Columbia Pictures    Laura Ziskin Productions    Marvel Enterprises  
88901,Tangled,2010-11-24,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",prime,yes,English,3330,7.4,TRUE,FALSE, Walt Disney Pictures    Walt Disney Animation Studios  
67895,Avengers: Age of Ultron,2015-04-22,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",netflix,yes,English,6767,7.3,FALSE,FALSE, Marvel Studios    Prime Focus    Revolution Sun Studios  
91826,Harry Potter and the Half-Blood Prince,2009-07-07,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",netflix,yes,English,5293,7.4,TRUE,FALSE, Warner Bros.    Heyday Films  
91701,Batman v Superman: Dawn of Justice,2016-03-23,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",hulu,yes,English,7004,5.7,FALSE,FALSE, DC Comics    Atlas Entertainment    Warner Bros.    DC Entertainment    Cruel & Unusual Films    RatPac-Dune Entertainment  
