,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
0,A Christmas Story,1983,93,7.9,77.0,151583,20.61
1,Triangle of Sadness,2022,147,7.7,63.0,27718,Null
2,All Quiet on the Western Front,2022,148,7.8,76.0,74549,Null
3,Top Gun: Maverick,2022,130,8.4,78.0,438268,Null
4,Everything Everywhere All at Once,2022,139,8.1,81.0,244709,Null
5,Knives Out,2019,130,7.9,82.0,626310,165.36
6,Kantara,2022,148,8.8,Null,74968,Null
7,Avatar,2009,162,7.8,83.0,1249068,760.51
8,Home Alone,1990,103,7.7,63.0,568560,285.76
9,The Godfather,1972,175,9.2,100.0,1848167,134.97
10,The Batman,2022,176,7.8,72.0,628173,Null
11,The Shawshank Redemption,1994,142,9.3,81.0,2667015,28.34
12,Harry Potter and the Sorcerer's Stone,2001,152,7.6,65.0,777690,317.58
13,Rogue One: A Star Wars Story,2016,133,7.8,65.0,636283,532.18
14,The Wolf of Wall Street,2013,180,8.2,75.0,1400481,116.9
15,Once Upon a Time in Hollywood,2019,161,7.6,83.0,732135,142.5
16,The Wizard of Oz,1939,102,8.1,92.0,400482,2.08
17,Pulp Fiction,1994,154,8.9,94.0,2041618,107.93
18,Dune,2021,155,8.0,74.0,627891,108.33
19,It's a Wonderful Life,1946,130,8.6,89.0,455260,Null
20,Spider-Man: No Way Home,2021,148,8.3,71.0,747406,804.75
21,Interstellar,2014,169,8.6,74.0,1814369,188.02
22,Sita Ramam,2022,163,8.6,Null,47675,Null
23,American Psycho,2000,102,7.6,64.0,616575,15.07
24,Fight Club,1999,139,8.8,66.0,2112480,37.03
25,Titanic,1997,194,7.9,75.0,1169028,659.33
26,Get Out,2017,104,7.7,85.0,607892,176.04
27,The Dark Knight,2008,152,9.0,84.0,2639924,534.86
28,Avengers: Endgame,2019,181,8.4,78.0,1121819,858.37
29,The Princess Bride,1987,98,8.0,77.0,428182,30.86
30,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1867635,315.54
31,Goodfellas,1990,145,8.7,90.0,1156067,46.84
32,Inception,2010,148,8.8,74.0,2339582,292.58
33,Blade Runner 2049,2017,164,8.0,81.0,570255,92.05
34,Whiplash,2014,106,8.5,89.0,854563,13.09
35,Forrest Gump,1994,142,8.8,82.0,2067416,330.25
36,Call Me by Your Name,2017,132,7.8,94.0,273494,18.1
37,Guardians of the Galaxy,2014,121,8.0,76.0,1175178,333.18
38,American Beauty,1999,122,8.4,84.0,1153085,130.1
39,Back to the Future,1985,116,8.5,87.0,1199962,210.61
40,Die Hard,1988,132,8.2,72.0,874870,83.01
41,Inglourious Basterds,2009,153,8.3,69.0,1441972,120.54
42,The Gentlemen,2019,113,7.8,51.0,338448,36.47
43,Joker,2019,122,8.4,59.0,1271688,335.45
44,Parasite,2019,132,8.5,96.0,794739,53.37
45,The Goonies,1985,114,7.7,62.0,275068,61.5
46,Gladiator,2000,155,8.5,67.0,1494524,187.71
47,The Godfather Part II,1974,202,9.0,90.0,1265701,57.3
48,Django Unchained,2012,165,8.4,81.0,1545620,162.81
49,Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85.0,963646,248.16
