id,tvshows,rating,year,star_cast,,platform,subscription,originals
3881,Planet Earth II,9.437608368,2016,"David Attenborough, Chadden Hunter",,discovery+,yes,FALSE
8472,Breaking Bad,9.42799576,2008,"Bryan Cranston, Aaron Paul",,netflix,yes,FALSE
3474,Planet Earth,9.414701064,2006,"Sigourney Weaver, David Attenborough",,discovery+,yes,FALSE
5186,Band of Brothers,9.391698285,2001,"Scott Grimes, Damian Lewis",,hulu,yes,FALSE
4757,Chernobyl,9.3176389,2019,"Jessie Buckley, Jared Harris",,hulu,yes,FALSE
9350,The Wire,9.291191963,2002,"Dominic West, Lance Reddick",,hulu,yes,FALSE
2525,Blue Planet II,9.230980839,2017,"David Attenborough, Peter Drost",,prime,yes,FALSE
9727,Avatar: The Last Airbender,9.229291948,2005,"Dee Bradley Baker, Zach Tyler Eisen",,netflix,yes,FALSE
8009,Cosmos: A Spacetime Odyssey,9.202989579,2014,"Neil deGrasse Tyson, Christopher Emerson",,fox,yes,FALSE
1282,The Sopranos,9.200315748,1999,"James Gandolfini, Lorraine Bracco",,HBO,yes,TRUE
3729,Cosmos,9.187391631,1980,"Carl Sagan, Jaromír Hanzlík",,fox,yes,FALSE
1498,Our Planet,9.186996661,2019,David Attenborough,,netflix,yes,FALSE
8516,Game of Thrones,9.146681181,2011,"Emilia Clarke, Peter Dinklage",,HBO,yes,TRUE
3363,Rick and Morty,9.101830523,2013,"Justin Roiland, Chris Parnell",,hulu,yes,FALSE
3204,The World at War,9.096462303,1973,"Laurence Olivier, Averell Harriman",,HBO,yes,FALSE
7802,Fullmetal Alchemist: Brotherhood,9.053633936,2009,"Kent Williams, Iemasa Kayumi",,netflix,yes,FALSE
5502,The Last Dance,9.0422776,2020,"Michael Jordan, Phil Jackson",,netflix,yes,FALSE
4992,Life,9.037183789,2009,"Oprah Winfrey, David Attenborough",,nbc,yes,FALSE
6836,Sherlock,9.017156166,2010,"Benedict Cumberbatch, Martin Freeman",,BBC One,yes,TRUE
4559,The Twilight Zone,9.013601111,1959,"Rod Serling, Robert McCord",,netflix,yes,FALSE
9489,The Vietnam War,9.00258777,2017,"Peter Coyote, Huy Duc",,prime,yes,FALSE
1523,Bluey,8.980446956,2018,"Millie Egerton, Harriet Hynes",,prime,yes,FALSE
6659,Batman: The Animated Series,8.971501716,1992,"Kevin Conroy, Loren Lester",,prime,yes,TRUE
4910,Scam 1992: The Harshad Mehta Story,8.954680804,2020,"Pratik Gandhi, Shreya Dhanwanthary",,sling,yes,TRUE
5114,Arcane,8.93541614,2021,"Hailee Steinfeld, Kevin Alejandro",,netflix,yes,FALSE
3022,The Blue Planet,8.929726473,2001,"David Attenborough, Pierce Brosnan",,discovery+,yes,FALSE
5747,Attack on Titan,8.928452724,2013,"Josh Grelle, Bryce Papenbrook",,tubi,yes,FALSE
2629,The Office,8.924039882,2005,"Steve Carell, Jenna Fischer",,peacocktv,yes,FALSE
4486,Firefly,8.914870192,2002,"Nathan Fillion, Gina Torres",,hulu,yes,FALSE
7598,Human Planet,8.914103685,2011,"John Hurt, Roger Munns",,prime,yes,FALSE
6358,Frozen Planet,8.900803091,2011,"David Attenborough, Alec Baldwin",,discovery+,yes,FALSE
1720,Death Note,8.895533479,2006,"Mamoru Miyano, Brad Swaile",,netflix,yes,FALSE
6877,Hunter x Hunter,8.889244466,2011,"Issei Futamata, Megumi Han",,netflix,yes,FALSE
3110,Only Fools and Horses,8.887579391,1981,"David Jason, Nicholas Lyndhurst",,sling,yes,FALSE
9093,The Civil War,8.885143789,1990,"David McCullough, Sam Waterston",,prime,yes,FALSE
8770,True Detective,8.883060297,2014,"Vince Vaughn, Colin Farrell",,HBO,yes,FALSE
9751,Better Call Saul,8.875366459,2015,"Bob Odenkirk, Rhea Seehorn",,netflix,yes,FALSE
1461,Seinfeld,8.874781614,1989,"Jerry Seinfeld, Julia Louis-Dreyfus",,netflix,yes,FALSE
2914,The Beatles: Get Back,8.87152943,2021,"The Beatles, John Lennon",,disneyplus,yes,FALSE
4676,Persona,8.86717504,2018,"Haluk Bilginer, Cansu Dere",,netflix,yes,FALSE
2306,Dekalog,8.867150855,1989,"Artur Barcis, Olgierd Lukaszewicz",,null,yes,FALSE
7001,Fargo,8.859392275,2014,"Billy Bob Thornton, Martin Freeman",,hulu,yes,TRUE
3847,Cowboy Bebop,8.856444175,1998,"Kôichi Yamadera, Unshô Ishizuka",,netflix,yes,FALSE
